月份,产品名称,产线,标准产量,直接材料标准,直接人工标准,变动制造费用标准,固定制造费用标准,标准单位成本
基准,仪表板总成,A1,5000,4461.41,20.0,29.615384615384617,307.8703703703704,4818.9
基准,中控台总成,A1,3000,6997.5,20.0,29.615384615384617,307.8703703703704,7354.99
基准,地毯总成,A1,4000,5489.42,20.0,29.615384615384617,307.8703703703704,5846.91
基准,发动机底护板,A1,6000,4918.31,20.0,29.615384615384617,307.8703703703704,5275.8
基准,门内护板总成,A2,8000,7379.71,20.0,29.615384615384617,307.8703703703704,7737.2
基准,立柱饰板总成,A2,5000,5491.09,20.0,29.615384615384617,307.8703703703704,5848.58
基准,天窗遮阳板总成,A2,3000,4335.03,20.0,29.615384615384617,307.8703703703704,4692.52
基准,空调出风口总成,A3,12000,4089.23,20.0,29.615384615384617,307.8703703703704,4446.72
基准,行李箱饰板总成,A3,4000,5189.64,20.0,29.615384615384617,307.8703703703704,5547.13
基准,轮罩饰板总成,A3,3000,6074.76,20.0,29.615384615384617,307.8703703703704,6432.25
基准,仪表板总成,A1,5000,4461.41,20.0,29.615384615384617,307.8703703703704,4818.9
基准,中控台总成,A1,3000,6997.5,20.0,29.615384615384617,307.8703703703704,7354.99
基准,地毯总成,A1,4000,5489.42,20.0,29.615384615384617,307.8703703703704,5846.91
基准,发动机底护板,A1,6000,4918.31,20.0,29.615384615384617,307.8703703703704,5275.8
基准,门内护板总成,A2,8000,7379.71,20.0,29.615384615384617,307.8703703703704,7737.2
基准,立柱饰板总成,A2,5000,5491.09,20.0,29.615384615384617,307.8703703703704,5848.58
基准,天窗遮阳板总成,A2,3000,4335.03,20.0,29.615384615384617,307.8703703703704,4692.52
基准,空调出风口总成,A3,12000,4089.23,20.0,29.615384615384617,307.8703703703704,4446.72
基准,行李箱饰板总成,A3,4000,5189.64,20.0,29.615384615384617,307.8703703703704,5547.13
基准,轮罩饰板总成,A3,3000,6074.76,20.0,29.615384615384617,307.8703703703704,6432.25
